2MASS%20J07565849+1149193,DA+M
2MASS%20J07572107+3230545,DA+M
2MASS%20J07591942+3219485,DA+M
2MASS%20J08001182+1144373,DA+M
2MASS%20J08002913+4911125,DA+M
2MASS%20J08020022-5327499,DA
2MASS%20J08023568+5257367,DA+M
2MASS%20J08030461+1218105,DA+M
2MASS%20J08052387+1304353,DA+M
2MASS%20J08052439+2324117,DA+M
2MASS%20J08061173+3344271,DB
2MASS%20J08064338+4035174,DA+M
2MASS%20J08065394+1607298,DA+M
2MASS%20J08073286+1127107,DA+M
2MASS%20J08073695+0724121,DA+M
2MASS%20J08075600+4854195,DA
2MASS%20J08084659+1825584,DA+M
2MASS%20J08093996+1251220,DA+M
2MASS%20J08095109+2250541,DA
2MASS%20J08112668+0539119,DA+M
2MASS%20J08131213+3247585,DA+M
2MASS%20J08135548+4526234,DA+M
2MASS%20J08140617+5217158,DA+M
2MASS%20J08140986+5319212,DA+M
2MASS%20J08151368+2043483,DA+M
2MASS%20J08155746+2106569,DA+M
2MASS%20J08164875+2623540,DA+M
2MASS%20J08165434+3542301,DA+M
2MASS%20J08170186-0003132,DA+M
2MASS%20J08171698+0542231,DA+M
2MASS%20J08173272+2657300,DA+M
2MASS%20J08181170+1732245,DA+M
2MASS%20J08182042+2705328,DA
2MASS%20J08193677+3529161,DA+M
2MASS%20J08194267+5426083,DA+M
2MASS%20J08195917+0604237,DA+M
2MASS%20J08201126+5842356,DA+M
2MASS%20J08202203+4314112,DA+M
2MASS%20J08203701+4310048,DA
2MASS%20J08221922+2023264,DC
2MASS%20J08225756+1844001,DA
2MASS%20J08242899+1723453,DA+M
2MASS%20J08253382+1610484,DA+M
2MASS%20J08260175+0945562,DA+M
2MASS%20J08260971+1941264,DA+M
2MASS%20J08261954+3330423,DA+M
2MASS%20J08302548-0536386,DA+M
2MASS%20J08303881+4702468,DA+M
2MASS%20J08305611+3159420,DA+M
2MASS%20J08313272+1322444,DA
2MASS%20J08314302+1209360,DA+M
2MASS%20J08323309+6111206,DA+M
2MASS%20J08331190+1734568,DA+M
2MASS%20J08332842+1106578,DA+M
2MASS%20J08335484+0702400,DA+M
